calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 18.600000 0.325903 219.547720 3.865520 12.943040 7.359552 0.021962 8.663551 -0.010878 0.003305 11.728613 0.000000 0.000000 0.000000 
2 18.600000 0.325903 219.547720 3.865520 12.943040 7.359552 0.021962 8.663551 -0.010878 0.003305 0.000000 0.000000 80.000000 5.000000 
3 18.600000 0.859404 220.115184 3.859251 8.638816 4.761218 -0.015607 6.137039 0.009093 0.001078 0.000000 0.000000 0.000000 0.000000 
1 18.800000 -6.871853 213.366309 3.833071 9.789101 5.971422 -0.008550 6.957290 0.000568 0.001781 10.262536 -0.026180 0.000000 0.000000 
1 19.000000 -15.906450 205.887245 3.833071 11.069228 7.015655 0.004773 7.989055 -0.015527 0.002485 11.728613 0.000000 0.000000 0.000000 
1 19.200000 -24.941047 198.408180 3.833071 12.587980 7.771631 0.023355 9.369031 -0.037974 0.003188 11.728613 0.000000 0.000000 0.000000 
1 19.400000 -31.716995 192.798882 3.833071 14.258672 8.362318 0.041236 10.926628 -0.059573 0.003891 8.796459 -0.000000 0.000000 0.000000 
2 19.400000 -31.716995 192.798882 3.833071 14.258672 8.362318 0.041236 10.926628 -0.059573 0.003891 0.000000 0.000000 80.000000 -30.000000 
3 19.400000 -30.884375 193.075781 3.843798 8.926668 5.615671 0.002714 6.682861 0.008267 0.000895 0.000000 0.000000 0.000000 0.000000 
1 19.600000 -39.838227 185.500236 3.843798 10.304236 6.680577 0.009492 7.526461 0.000255 0.001598 11.728613 0.000000 0.000000 0.000000 
1 19.800000 -48.792080 177.924691 3.843798 11.824849 7.576411 0.021597 8.569893 -0.014051 0.002301 11.728613 0.000000 0.000000 0.000000 
1 20.000000 -56.626700 171.296089 3.869978 13.455247 8.289980 0.037316 9.897130 -0.031673 0.003004 10.262536 0.026180 0.000000 0.000000 
2 20.000000 -56.626700 171.296089 3.869978 13.455247 8.289980 0.037316 9.897130 -0.031673 0.003004 0.000000 0.000000 80.000000 10.000000 
3 20.000000 -56.770153 171.123628 3.871515 8.515148 5.492254 -0.007195 6.471834 0.000213 0.000832 0.000000 0.000000 0.000000 0.000000 
